,City,Country,Lat,Lng,Hotel Name
108,cayenne,GF,4.93,-52.33,Royal Amazonia
109,yenagoa,NG,4.92,6.26,Aridolf Resort Wellness and Spa
110,helena,US,46.59,-112.04,Delta Hotels by Marriott Helena Colonial
111,cabo san lucas,MX,22.89,-109.91,Welk Resorts Cabo San Lucas
112,santa maria,BR,-29.68,-53.81,Itaimbé Palace
113,labuhan,ID,-6.88,112.21,
114,qaanaaq,GL,77.48,-69.36,Qaanaaq Hotel
115,turukhansk,RU,65.82,87.98,"ООО ""Туруханская пушнина"""
116,luderitz,,-26.65,15.16,Kairos Cottage
117,yumen,CN,40.28,97.2,
118,mount isa,AU,-20.73,139.5,Burke & Wills Motel Mt Isa
119,grindavik,IS,63.84,-22.43,Mar Guesthouse
120,san quintin,MX,30.48,-115.95,Don Eddie's Landing
121,maniwaki,CA,46.38,-75.97,Centre Chateau Logue
122,praia da vitoria,PT,38.73,-27.07,Atlântida Mar Hotel
123,okha,RU,53.57,142.95,Империя
124,provideniya,RU,64.38,-173.3,
125,amravati,IN,20.93,77.75,Hotel Regency
126,katsuura,JP,35.13,140.3,Katsuura Hilltop Hotel & Residence
127,kousseri,CM,12.08,15.03,"Radisson Blu Hotel, N'Djamena"
128,plettenberg bay,ZA,-34.05,23.37,The Dunes Hotel & Resort
129,osa,RU,57.28,55.46,"Oilman, hotel"
130,paungde,MM,18.48,95.5,ရွှေလွန်းပျံ ဧည့်ရိပ်သာ
131,cairns,AU,-16.92,145.77,"Shangri-La Hotel, The Marina, Cairns"
132,maceio,BR,-9.67,-35.74,Jatiúca Hotel & Resort
133,upernavik,GL,72.79,-56.15,Café de Upernavik
134,mumford,GH,5.26,-0.76,Blue Diamond Beach and Spa Resort
135,rudnyy,KZ,52.96,63.12,Gostinitsa Troya
136,new norfolk,AU,-42.78,147.06,Tynwald Willow Bend Estate
137,srandakan,ID,-7.94,110.25,Puri Brata
138,grand gaube,MU,-20.01,57.66,LUX Grand Gaube Resort & Villas
139,codrington,AU,-38.27,141.97,Codrington Gardens Bed And Breakfast
140,hillsboro,US,45.52,-122.99,Econo Lodge Inn & Suites Hillsboro - Portland West
141,bereda,ES,43.27,-7.54,Casa Grande de Anllo
142,airai,TL,-8.93,125.41,
143,marquette,US,46.53,-87.63,Magnuson Hotel Country Inn
144,gifhorn,DE,52.48,10.55,Meyers Hofcafé und Pension
145,jiayuguan,CN,39.82,98.3,Taihe Hotel Jiayuguan
146,marawi,PH,8.0,124.29,Marawi Resort Hotel
147,capanema,BR,-1.2,-47.18,Hotel Legal
148,saravan,AM,39.72,45.65,
149,buraydah,SA,26.33,43.98,Mövenpick Hotel Qassim
150,ribeira grande,PT,38.52,-28.7,Quinta Das Buganvílias
151,san roque,ES,36.21,-5.38,Hotel Guadacorte Park
152,teya,RU,60.38,92.63,
153,mayo,US,38.89,-76.51,
154,guerrero negro,MX,27.98,-114.06,Hotel Los Caracoles
155,san carlos,VE,9.66,-68.58,Hotel Paternopoli
156,beloha,MG,-25.17,45.05,
157,longyearbyen,SJ,78.22,15.64,Coal Miners' Cabin
158,ponta do sol,PT,32.67,-17.1,Hotel Da Vila
159,sibiti,CG,-3.68,13.35,Hotel Saint Pierre
160,arman,RU,59.7,150.17,
161,nome,US,64.5,-165.41,Aurora Inn & Suites
162,kribi,CM,2.95,9.92,Hôtel SAMAKI Plage
163,kahului,US,20.89,-156.47,Maui Beach Hotel
164,rocha,UY,-34.48,-54.33,Casa Rodo 53
